id,logdate,login,tablename,primarykey,pkvalue,operation,columnname,oldvalue,newvalue,access_ip,transaction_id,log_trace,session_id,class_name,php_sapi,log_year,log_month,log_day
1,"2023-09-04 19:07:09",admin,system_unit,id,1,deleted,atividade,11111,,::1,64f6550dc16b9,"#0 /Users/fredazevedo/Sites/escolar/app/model/log/SystemChangeLogTrait.php(48): SystemChangeLogService::register(Object(SystemUnit), Array, Array)
#1 /Users/fredazevedo/Sites/escolar/lib/adianti/database/TRecord.php(758): SystemUnit->onAfterStore(Object(stdClass))
#2 /Users/fredazevedo/Sites/escolar/app/model/admin/SystemUnit.class.php(107): Adianti\Database\TRecord->store()
#3 /Users/fredazevedo/Sites/escolar/app/control/admin/SystemUnitForm.class.php(286): SystemUnit->store()
#4 [internal function]: SystemUnitForm->onSave(Array)
#5 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(107): call_user_func(Array, Array)
#6 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(269): Adianti\Control\TPage->run()
#7 /Users/fredazevedo/Sites/escolar/lib/adianti/core/AdiantiCoreApplication.php(96): Adianti\Control\TPage->show(Array)
#8 /Users/fredazevedo/Sites/escolar/engine.php(27): Adianti\Core\AdiantiCoreApplication::run('2')
#9 /Users/fredazevedo/Sites/escolar/engine.php(66): TApplication::run()
#10 {main}",8df66ru9ic8nhfl8pckcm212qb,SystemUnitForm,apache2handler,2023,09,04
2,"2023-09-04 19:07:09",admin,system_unit,id,1,deleted,regime,1,,::1,64f6550dc16b9,"#0 /Users/fredazevedo/Sites/escolar/app/model/log/SystemChangeLogTrait.php(48): SystemChangeLogService::register(Object(SystemUnit), Array, Array)
#1 /Users/fredazevedo/Sites/escolar/lib/adianti/database/TRecord.php(758): SystemUnit->onAfterStore(Object(stdClass))
#2 /Users/fredazevedo/Sites/escolar/app/model/admin/SystemUnit.class.php(107): Adianti\Database\TRecord->store()
#3 /Users/fredazevedo/Sites/escolar/app/control/admin/SystemUnitForm.class.php(286): SystemUnit->store()
#4 [internal function]: SystemUnitForm->onSave(Array)
#5 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(107): call_user_func(Array, Array)
#6 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(269): Adianti\Control\TPage->run()
#7 /Users/fredazevedo/Sites/escolar/lib/adianti/core/AdiantiCoreApplication.php(96): Adianti\Control\TPage->show(Array)
#8 /Users/fredazevedo/Sites/escolar/engine.php(27): Adianti\Core\AdiantiCoreApplication::run('2')
#9 /Users/fredazevedo/Sites/escolar/engine.php(66): TApplication::run()
#10 {main}",8df66ru9ic8nhfl8pckcm212qb,SystemUnitForm,apache2handler,2023,09,04
3,"2023-09-04 19:07:09",admin,system_unit,id,1,deleted,telefone_sped,8432210456,,::1,64f6550dc16b9,"#0 /Users/fredazevedo/Sites/escolar/app/model/log/SystemChangeLogTrait.php(48): SystemChangeLogService::register(Object(SystemUnit), Array, Array)
#1 /Users/fredazevedo/Sites/escolar/lib/adianti/database/TRecord.php(758): SystemUnit->onAfterStore(Object(stdClass))
#2 /Users/fredazevedo/Sites/escolar/app/model/admin/SystemUnit.class.php(107): Adianti\Database\TRecord->store()
#3 /Users/fredazevedo/Sites/escolar/app/control/admin/SystemUnitForm.class.php(286): SystemUnit->store()
#4 [internal function]: SystemUnitForm->onSave(Array)
#5 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(107): call_user_func(Array, Array)
#6 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(269): Adianti\Control\TPage->run()
#7 /Users/fredazevedo/Sites/escolar/lib/adianti/core/AdiantiCoreApplication.php(96): Adianti\Control\TPage->show(Array)
#8 /Users/fredazevedo/Sites/escolar/engine.php(27): Adianti\Core\AdiantiCoreApplication::run('2')
#9 /Users/fredazevedo/Sites/escolar/engine.php(66): TApplication::run()
#10 {main}",8df66ru9ic8nhfl8pckcm212qb,SystemUnitForm,apache2handler,2023,09,04
4,"2023-09-04 19:07:09",admin,system_unit,id,1,deleted,updated_at,"2017-11-25 02:00:00",,::1,64f6550dc16b9,"#0 /Users/fredazevedo/Sites/escolar/app/model/log/SystemChangeLogTrait.php(48): SystemChangeLogService::register(Object(SystemUnit), Array, Array)
#1 /Users/fredazevedo/Sites/escolar/lib/adianti/database/TRecord.php(758): SystemUnit->onAfterStore(Object(stdClass))
#2 /Users/fredazevedo/Sites/escolar/app/model/admin/SystemUnit.class.php(107): Adianti\Database\TRecord->store()
#3 /Users/fredazevedo/Sites/escolar/app/control/admin/SystemUnitForm.class.php(286): SystemUnit->store()
#4 [internal function]: SystemUnitForm->onSave(Array)
#5 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(107): call_user_func(Array, Array)
#6 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(269): Adianti\Control\TPage->run()
#7 /Users/fredazevedo/Sites/escolar/lib/adianti/core/AdiantiCoreApplication.php(96): Adianti\Control\TPage->show(Array)
#8 /Users/fredazevedo/Sites/escolar/engine.php(27): Adianti\Core\AdiantiCoreApplication::run('2')
#9 /Users/fredazevedo/Sites/escolar/engine.php(66): TApplication::run()
#10 {main}",8df66ru9ic8nhfl8pckcm212qb,SystemUnitForm,apache2handler,2023,09,04
5,"2023-09-04 19:07:09",admin,system_unit,id,1,changed,razao_social,"WIZARD SYSTEM TECNOLOGIA DA COMUNICAÇÃO","M DA C CUNHA PRE ESCOLA",::1,64f6550dc16b9,"#0 /Users/fredazevedo/Sites/escolar/app/model/log/SystemChangeLogTrait.php(48): SystemChangeLogService::register(Object(SystemUnit), Array, Array)
#1 /Users/fredazevedo/Sites/escolar/lib/adianti/database/TRecord.php(758): SystemUnit->onAfterStore(Object(stdClass))
#2 /Users/fredazevedo/Sites/escolar/app/model/admin/SystemUnit.class.php(107): Adianti\Database\TRecord->store()
#3 /Users/fredazevedo/Sites/escolar/app/control/admin/SystemUnitForm.class.php(286): SystemUnit->store()
#4 [internal function]: SystemUnitForm->onSave(Array)
#5 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(107): call_user_func(Array, Array)
#6 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(269): Adianti\Control\TPage->run()
#7 /Users/fredazevedo/Sites/escolar/lib/adianti/core/AdiantiCoreApplication.php(96): Adianti\Control\TPage->show(Array)
#8 /Users/fredazevedo/Sites/escolar/engine.php(27): Adianti\Core\AdiantiCoreApplication::run('2')
#9 /Users/fredazevedo/Sites/escolar/engine.php(66): TApplication::run()
#10 {main}",8df66ru9ic8nhfl8pckcm212qb,SystemUnitForm,apache2handler,2023,09,04
6,"2023-09-04 19:07:09",admin,system_unit,id,1,changed,nome_fantasia,"WIZARD SYSTEM","COLEGIO CAMINHO DO SABER",::1,64f6550dc16b9,"#0 /Users/fredazevedo/Sites/escolar/app/model/log/SystemChangeLogTrait.php(48): SystemChangeLogService::register(Object(SystemUnit), Array, Array)
#1 /Users/fredazevedo/Sites/escolar/lib/adianti/database/TRecord.php(758): SystemUnit->onAfterStore(Object(stdClass))
#2 /Users/fredazevedo/Sites/escolar/app/model/admin/SystemUnit.class.php(107): Adianti\Database\TRecord->store()
#3 /Users/fredazevedo/Sites/escolar/app/control/admin/SystemUnitForm.class.php(286): SystemUnit->store()
#4 [internal function]: SystemUnitForm->onSave(Array)
#5 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(107): call_user_func(Array, Array)
#6 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(269): Adianti\Control\TPage->run()
#7 /Users/fredazevedo/Sites/escolar/lib/adianti/core/AdiantiCoreApplication.php(96): Adianti\Control\TPage->show(Array)
#8 /Users/fredazevedo/Sites/escolar/engine.php(27): Adianti\Core\AdiantiCoreApplication::run('2')
#9 /Users/fredazevedo/Sites/escolar/engine.php(66): TApplication::run()
#10 {main}",8df66ru9ic8nhfl8pckcm212qb,SystemUnitForm,apache2handler,2023,09,04
7,"2023-09-04 19:07:09",admin,system_unit,id,1,changed,responsavel,"PEDRO FLÁVIO QUEIROZ BARBOSA","MARIA CÉIÇA",::1,64f6550dc16b9,"#0 /Users/fredazevedo/Sites/escolar/app/model/log/SystemChangeLogTrait.php(48): SystemChangeLogService::register(Object(SystemUnit), Array, Array)
#1 /Users/fredazevedo/Sites/escolar/lib/adianti/database/TRecord.php(758): SystemUnit->onAfterStore(Object(stdClass))
#2 /Users/fredazevedo/Sites/escolar/app/model/admin/SystemUnit.class.php(107): Adianti\Database\TRecord->store()
#3 /Users/fredazevedo/Sites/escolar/app/control/admin/SystemUnitForm.class.php(286): SystemUnit->store()
#4 [internal function]: SystemUnitForm->onSave(Array)
#5 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(107): call_user_func(Array, Array)
#6 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(269): Adianti\Control\TPage->run()
#7 /Users/fredazevedo/Sites/escolar/lib/adianti/core/AdiantiCoreApplication.php(96): Adianti\Control\TPage->show(Array)
#8 /Users/fredazevedo/Sites/escolar/engine.php(27): Adianti\Core\AdiantiCoreApplication::run('2')
#9 /Users/fredazevedo/Sites/escolar/engine.php(66): TApplication::run()
#10 {main}",8df66ru9ic8nhfl8pckcm212qb,SystemUnitForm,apache2handler,2023,09,04
8,"2023-09-04 19:07:09",admin,system_unit,id,1,changed,cnpj,00.504.923/0001-80,07.148.818/0001-03,::1,64f6550dc16b9,"#0 /Users/fredazevedo/Sites/escolar/app/model/log/SystemChangeLogTrait.php(48): SystemChangeLogService::register(Object(SystemUnit), Array, Array)
#1 /Users/fredazevedo/Sites/escolar/lib/adianti/database/TRecord.php(758): SystemUnit->onAfterStore(Object(stdClass))
#2 /Users/fredazevedo/Sites/escolar/app/model/admin/SystemUnit.class.php(107): Adianti\Database\TRecord->store()
#3 /Users/fredazevedo/Sites/escolar/app/control/admin/SystemUnitForm.class.php(286): SystemUnit->store()
#4 [internal function]: SystemUnitForm->onSave(Array)
#5 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(107): call_user_func(Array, Array)
#6 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(269): Adianti\Control\TPage->run()
#7 /Users/fredazevedo/Sites/escolar/lib/adianti/core/AdiantiCoreApplication.php(96): Adianti\Control\TPage->show(Array)
#8 /Users/fredazevedo/Sites/escolar/engine.php(27): Adianti\Core\AdiantiCoreApplication::run('2')
#9 /Users/fredazevedo/Sites/escolar/engine.php(66): TApplication::run()
#10 {main}",8df66ru9ic8nhfl8pckcm212qb,SystemUnitForm,apache2handler,2023,09,04
9,"2023-09-04 19:07:09",admin,system_unit,id,1,changed,email,polyclima@polyclima.com.br,ccs@email.com.br,::1,64f6550dc16b9,"#0 /Users/fredazevedo/Sites/escolar/app/model/log/SystemChangeLogTrait.php(48): SystemChangeLogService::register(Object(SystemUnit), Array, Array)
#1 /Users/fredazevedo/Sites/escolar/lib/adianti/database/TRecord.php(758): SystemUnit->onAfterStore(Object(stdClass))
#2 /Users/fredazevedo/Sites/escolar/app/model/admin/SystemUnit.class.php(107): Adianti\Database\TRecord->store()
#3 /Users/fredazevedo/Sites/escolar/app/control/admin/SystemUnitForm.class.php(286): SystemUnit->store()
#4 [internal function]: SystemUnitForm->onSave(Array)
#5 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(107): call_user_func(Array, Array)
#6 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(269): Adianti\Control\TPage->run()
#7 /Users/fredazevedo/Sites/escolar/lib/adianti/core/AdiantiCoreApplication.php(96): Adianti\Control\TPage->show(Array)
#8 /Users/fredazevedo/Sites/escolar/engine.php(27): Adianti\Core\AdiantiCoreApplication::run('2')
#9 /Users/fredazevedo/Sites/escolar/engine.php(66): TApplication::run()
#10 {main}",8df66ru9ic8nhfl8pckcm212qb,SystemUnitForm,apache2handler,2023,09,04
10,"2023-09-04 19:07:09",admin,system_unit,id,1,changed,site,www.polyclima.com.br,www.ccs.com.br,::1,64f6550dc16b9,"#0 /Users/fredazevedo/Sites/escolar/app/model/log/SystemChangeLogTrait.php(48): SystemChangeLogService::register(Object(SystemUnit), Array, Array)
#1 /Users/fredazevedo/Sites/escolar/lib/adianti/database/TRecord.php(758): SystemUnit->onAfterStore(Object(stdClass))
#2 /Users/fredazevedo/Sites/escolar/app/model/admin/SystemUnit.class.php(107): Adianti\Database\TRecord->store()
#3 /Users/fredazevedo/Sites/escolar/app/control/admin/SystemUnitForm.class.php(286): SystemUnit->store()
#4 [internal function]: SystemUnitForm->onSave(Array)
#5 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(107): call_user_func(Array, Array)
#6 /Users/fredazevedo/Sites/escolar/lib/adianti/control/TPage.php(269): Adianti\Control\TPage->run()
#7 /Users/fredazevedo/Sites/escolar/lib/adianti/core/AdiantiCoreApplication.php(96): Adianti\Control\TPage->show(Array)
#8 /Users/fredazevedo/Sites/escolar/engine.php(27): Adianti\Core\AdiantiCoreApplication::run('2')
#9 /Users/fredazevedo/Sites/escolar/engine.php(66): TApplication::run()
#10 {main}",8df66ru9ic8nhfl8pckcm212qb,SystemUnitForm,apache2handler,2023,09,04
